Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
SHPC,337.00,-2.6,349.00,335.10,349.00,"76,885",,
SICL,940.90,-2.4,977.00,940.90,974.90,"19,910",,
SIFC,350.00,-2.51,364.00,346.00,358.00,"17,586",,
SIGS2,9.21,1.21,9.21,8.80,8.95,"23,300",,
SIKLES,457.00,-2.14,476.30,450.20,460.00,"21,511",,
SIL,635.00,-2.31,660.00,635.00,651.00,"2,228",,
SINDU,296.90,-3.6,308.00,290.40,302.00,"16,271",,
SJCL,304.00,-1.65,318.00,303.00,315.20,"46,218",,
SKBBL,"1,267.00",0,"1,298.00","1,255.00","1,279.90","8,148",,
SLBBL,"1,029.00",-2.83,"1,079.00","1,029.00","1,070.00","4,872",,
SLBSL,"1,244.30",-2.02,"1,250.00","1,244.30","1,250.00",548,,
SLCF,8.50,0.47,8.50,8.50,8.50,"14,450",,
SLI,431.00,-1.67,447.00,431.00,447.00,"22,022",,
SMATA,861.00,-3.37,890.00,861.00,890.00,719,,
SMB,"1,290.00",-3.01,"1,330.00","1,290.00","1,330.00",145,,
SMFBS,"1,476.00",-3.28,"1,526.00","1,476.00","1,526.00",160,,
SMFDB,"1,347.80",5.21,"1,371.90","1,291.00","1,291.00","17,607",,
SPC,454.00,-0.87,467.00,448.90,458.00,"8,749",,
SPDL,328.20,-2.32,345.00,325.00,336.00,"62,261",,
SPHL,401.30,-1.59,416.00,399.70,399.70,"4,575",,
SRBL,201.00,0.45,204.00,200.10,203.00,"30,777",,
SSHL,255.00,0.59,266.00,250.90,258.50,"225,201",,
STC,"4,625.00",0.15,"4,705.00","4,580.00","4,600.00","1,926",,
SWBBL,"1,191.00",-1.73,"1,229.90","1,191.00","1,200.10","6,362",,
SWMF,911.00,-1.82,956.00,909.40,909.40,"4,943",,
TPC,416.00,-3.48,429.90,416.00,423.40,"3,720",,
TRH,441.20,-0.05,455.50,438.00,450.00,"35,056",,
UHEWA,445.00,-3.26,478.00,440.00,460.00,"26,791",,
UIC,452.00,-1.74,475.00,450.90,469.20,"11,249",,
ULBSL,"3,495.00",5.33,"3,550.00","3,370.00","3,383.00","5,062",,
UMHL,279.00,-3.16,299.00,278.00,293.80,"73,518",,
UMRH,515.90,-1.36,535.00,500.00,516.00,"13,690",,
UNHPL,242.00,-4.72,252.00,240.70,250.00,"64,745",,
UNL,"18,200.00",-0.55,"18,350.00","18,200.00","18,350.00",60,,
UPCL,263.00,-3.31,276.00,262.00,275.90,"94,900",,
UPPER,551.00,-2.39,569.00,550.00,567.00,"137,872",,
USHEC,369.70,-3.47,384.00,362.20,380.00,"40,295",,
USLB,962.20,-1.41,995.40,962.20,995.40,472,,
VLBS,965.00,-1.63,985.00,950.00,961.40,"1,178",,
WNLB,"1,051.50",-3.18,"1,107.00","1,051.50","1,086.00",210,,
